Deccan Example Bank Ltd - SAMPLE synthetic statement
Account Holder: RAMESH KUMAR SHARMA
A/C No: XXXXXXXX4821

Txn Date,Narration,Ref No,Withdrawal Amt,Deposit Amt,Balance
01/09/2025,NEFT CR-DECCAN TOOLS PVT LTD-SALARY SEP25,N250901,,78500.00,263500.00
05/09/2025,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0925,5000.00,,258500.00
07/09/2025,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0925,2000.00,,256500.00
10/09/2025,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,235160.00
15/09/2025,BILLDESK CREDIT CARD PAYMENT XX9012,BD0925,8400.00,,226760.00
20/09/2025,UPI/DR/KIRANA STORES/GROCERY,UPI0925,3250.00,,223510.00
22/09/2025,ATM WDL SELF KORAMANGALA,ATM0925,5000.00,,218510.00
23/09/2025,BESCOM ELECTRICITY BILL,BBPS0925,1420.00,,217090.00
01/10/2025,NEFT CR-DECCAN TOOLS PVT LTD-SALARY OCT25,N251001,,78500.00,295590.00
05/10/2025,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH1025,5000.00,,290590.00
07/10/2025,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL1025,2000.00,,288590.00
10/10/2025,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,267250.00
15/10/2025,BILLDESK CREDIT CARD PAYMENT XX9012,BD1025,8400.00,,258850.00
20/10/2025,UPI/DR/KIRANA STORES/GROCERY,UPI1025,3250.00,,255600.00
22/10/2025,ATM WDL SELF KORAMANGALA,ATM1025,5000.00,,250600.00
23/10/2025,BESCOM ELECTRICITY BILL,BBPS1025,1420.00,,249180.00
25/10/2025,NPS TRUST CONTRIBUTION PRAN 110045XXXX,NPS1025,2000.00,,247180.00
28/10/2025,ACH C- INFOSYS LIMITED INTERIM DIV,DIV1025,,690.00,247870.00
01/11/2025,NEFT CR-DECCAN TOOLS PVT LTD-SALARY NOV25,N251101,,78500.00,326370.00
05/11/2025,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH1125,5000.00,,321370.00
07/11/2025,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL1125,2000.00,,319370.00
10/11/2025,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,298030.00
14/11/2025,NEFT DR-ZERODHA BROKING LTD-FUNDS,ZRD1125,10000.00,,288030.00
15/11/2025,BILLDESK CREDIT CARD PAYMENT XX9012,BD1125,8400.00,,279630.00
20/11/2025,UPI/DR/KIRANA STORES/GROCERY,UPI1125,3250.00,,276380.00
22/11/2025,ATM WDL SELF KORAMANGALA,ATM1125,5000.00,,271380.00
23/11/2025,BESCOM ELECTRICITY BILL,BBPS1125,1420.00,,269960.00
01/12/2025,NEFT CR-DECCAN TOOLS PVT LTD-SALARY DEC25,N251201,,78500.00,348460.00
05/12/2025,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH1225,5000.00,,343460.00
07/12/2025,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL1225,2000.00,,341460.00
10/12/2025,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,320120.00
15/12/2025,BILLDESK CREDIT CARD PAYMENT XX9012,BD1225,8400.00,,311720.00
20/12/2025,UPI/DR/KIRANA STORES/GROCERY,UPI1225,3250.00,,308470.00
22/12/2025,ATM WDL SELF KORAMANGALA,ATM1225,5000.00,,303470.00
23/12/2025,BESCOM ELECTRICITY BILL,BBPS1225,1420.00,,302050.00
31/12/2025,NEFT CR-NANDINI SAHAKARI BANK-FD INT 00231,NSB00231,,6080.00,308130.00
31/12/2025,SB INT CREDIT,INT,,412.00,308542.00
01/01/2026,NEFT CR-DECCAN TOOLS PVT LTD-SALARY JAN26,N260101,,78500.00,387042.00
05/01/2026,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0126,5000.00,,382042.00
07/01/2026,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0126,2000.00,,380042.00
10/01/2026,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,358702.00
12/01/2026,LIC OF INDIA PREMIUM POL 873412XXX,LIC0126,12340.00,,346362.00
15/01/2026,BILLDESK CREDIT CARD PAYMENT XX9012,BD0126,8400.00,,337962.00
20/01/2026,UPI/DR/KIRANA STORES/GROCERY,UPI0126,3250.00,,334712.00
22/01/2026,ATM WDL SELF KORAMANGALA,ATM0126,5000.00,,329712.00
23/01/2026,BESCOM ELECTRICITY BILL,BBPS0126,1420.00,,328292.00
25/01/2026,NPS TRUST CONTRIBUTION PRAN 110045XXXX,NPS0126,2000.00,,326292.00
01/02/2026,NEFT CR-DECCAN TOOLS PVT LTD-SALARY FEB26,N260201,,78500.00,404792.00
05/02/2026,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0226,5000.00,,399792.00
07/02/2026,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0226,2000.00,,397792.00
09/02/2026,STAR HEALTH RENEWAL PREMIUM,STH0226,18900.00,,378892.00
10/02/2026,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,357552.00
15/02/2026,BILLDESK CREDIT CARD PAYMENT XX9012,BD0226,8400.00,,349152.00
20/02/2026,ACH C- COAL INDIA LTD DIVIDEND,DIV0226,,702.50,349854.50
20/02/2026,UPI/DR/KIRANA STORES/GROCERY,UPI0226,3250.00,,346604.50
22/02/2026,ATM WDL SELF KORAMANGALA,ATM0226,5000.00,,341604.50
23/02/2026,BESCOM ELECTRICITY BILL,BBPS0226,1420.00,,340184.50
01/03/2026,NEFT CR-DECCAN TOOLS PVT LTD-SALARY MAR26,N260301,,78500.00,418684.50
05/03/2026,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0326,5000.00,,413684.50
07/03/2026,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0326,2000.00,,411684.50
10/03/2026,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,390344.50
15/03/2026,BILLDESK CREDIT CARD PAYMENT XX9012,BD0326,8400.00,,381944.50
18/03/2026,ACH D- HDFC LIFE INSURANCE-PREM 21XXXX,HDL0326,9800.00,,372144.50
20/03/2026,UPI/DR/KIRANA STORES/GROCERY,UPI0326,3250.00,,368894.50
22/03/2026,ATM WDL SELF KORAMANGALA,ATM0326,5000.00,,363894.50
23/03/2026,BESCOM ELECTRICITY BILL,BBPS0326,1420.00,,362474.50
31/03/2026,NEFT CR-NANDINI SAHAKARI BANK-FD INT 00231,NSB00231,,6080.00,368554.50
31/03/2026,SB INT CREDIT,INT,,412.00,368966.50
01/04/2026,NEFT CR-DECCAN TOOLS PVT LTD-SALARY APR26,N260401,,78500.00,447466.50
03/04/2026,UPI/DR/SWIGGY/FOOD ORDER,UPI0426,640.00,,446826.50
05/04/2026,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0426,5000.00,,441826.50
07/04/2026,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0426,2000.00,,439826.50
10/04/2026,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,418486.50
15/04/2026,BILLDESK CREDIT CARD PAYMENT XX9012,BD0426,8400.00,,410086.50
20/04/2026,UPI/DR/KIRANA STORES/GROCERY,UPI0426,3250.00,,406836.50
22/04/2026,ATM WDL SELF KORAMANGALA,ATM0426,5000.00,,401836.50
23/04/2026,BESCOM ELECTRICITY BILL,BBPS0426,1420.00,,400416.50
25/04/2026,NPS TRUST CONTRIBUTION PRAN 110045XXXX,NPS0426,2000.00,,398416.50
01/05/2026,NEFT CR-DECCAN TOOLS PVT LTD-SALARY MAY26,N260501,,78500.00,476916.50
